Sign,Unicode,Transliteration,Keystrokes
𒅶,U+12176,KA x ME + GI,ka.me.gi
𒅷,U+12177,KA x ME + TE,ka.me.te
𒅸,U+12178,KA x MI,ka.mi
𒅹,U+12179,KA x MI + NUNUZ,ka.mi.nunuz
𒅺,U+1217A,KA x NE,ka.ne
𒅻,U+1217B,KA x NUN,ka.nun
𒎄,U+12384,KA x PA,ka.pa
𒅼,U+1217C,KA x PI,ka.pi
𒅽,U+1217D,KA x RU,ka.ru
𒅾,U+1217E,KA x SA,ka.sa
𒅿,U+1217F,KA x SAR,ka.sar
𒆀,U+12180,KA x ŠA,ka.sha
𒆁,U+12181,KA x ŠE,ka.she
𒆂,U+12182,KA x ŠID,ka.shid
𒆃,U+12183,KA x ŠU,ka.shu
𒎅,U+12385,KA x ŠUL,ka.shul
𒆄,U+12184,KA x SIG,ka.sig
𒆅,U+12185,KA x SUḪUR,ka.suhur
𒆆,U+12186,KA x TAR,ka.tar
𒎆,U+12386,KA x TU,ka.tu
𒆇,U+12187,KA x U,ka.u
𒆈,U+12188,KA x U2,ka.u2
𒆉,U+12189,KA x UD,ka.ud
𒆊,U+1218A,KA x UMUM x PA,ka.umum.pa
𒎇,U+12387,KA x UR2,ka.ur2
𒆋,U+1218B,KA x UŠ,ka.ush
𒆌,U+1218C,KA x ZI,ka.zi
𒆍,U+1218D,KA2,ka2
𒆎,U+1218E,KA2 crossing KA2,ka2.ka2
𒆏,U+1218F,KAB,kab
𒆐,U+12190,KAD2,kad2
𒆑,U+12191,KAD3,kad3
𒆒,U+12192,KAD4,kad4
𒆓,U+12193,KAD5,kad5
𒆔,U+12194,KAD5 / KAD5,kad5.kad5
𒆕,U+12195,KAK,kak
𒆖,U+12196,KAK x IGI gunû,kak.igi
𒆗,U+12197,KAL,kal
𒆘,U+12198,KAL x BAD,kal.bad
𒆙,U+12199,KAL crossing KAL,kal.kal
𒆚,U+1219A,KAM2,kam2
𒆛,U+1219B,KAM4,kam4
𒍯,U+1236F,KAP ELAMITE,kap.elamite
𒆜,U+1219C,KASKAL,kaskal
𒆞,U+1219E,KASKAL / KASKAL LAGAB x U / LAGAB x U,kaskal.kaskal.lagab.u.lagab.u
𒆝,U+1219D,KASKAL LAGAB x U / LAGAB x U,kaskal.lagab.u.lagab.u
𒆟,U+1219F,KEŠ2,kesh2
𒆠,U+121A0,KI,ki
𒆡,U+121A1,KI x BAD,ki.bad
𒆢,U+121A2,KI x U,ki.u
𒆣,U+121A3,KI x UD,ki.ud
𒆤,U+121A4,KID,kid
𒆥,U+121A5,KIN,kin
𒆦,U+121A6,KISAL,kisal
𒆧,U+121A7,KIŠ,kish
𒆨,U+121A8,KISIM5,kisim5
𒆩,U+121A9,KISIM5 / KISIM5,kisim5.kisim5
𒆪,U+121AA,KU,ku
𒆫,U+121AB,KU / ḪI x AŠ2 KU / ḪI x ÁŠ,ku.hi.ash2.ku.hi.ash
𒆬,U+121AC,KU3,ku3
𒆭,U+121AD,KU4,ku4
𒆮,U+121AE,KU4 variant form,ku4
𒆯,U+121AF,KU7,ku7
𒆰,U+121B0,KUL,kul
𒆱,U+121B1,KUL gunû,kul
𒆲,U+121B2,KUN,kun
𒆳,U+121B3,KUR,kur
𒆴,U+121B4,KUR opposing KUR,kur.kur
𒆵,U+121B5,KUŠU2,kushu2
𒆶,U+121B6,KWU318,kwu318
𒆷,U+121B7,LA,la
𒇫,U+121EB,LAGAB squared,lagab
𒆸,U+121B8,LAGAB,lagab
𒆹,U+121B9,LAGAB x A,lagab.a
𒆺,U+121BA,LAGAB x A + DA + ḪA,lagab.a.da.ha
